,country,lat,lon
1,Afghanistan,33.7680065,66.2385139
64,Albania,41.000028,19.9999619
29,Algeria,28.0000272,2.9999825
82,Angola,-11.8775768,17.5691241
133,Antigua and Barbuda,17.2234721,-61.9554608
60,Argentina,-34.9964963,-64.9672817
84,Armenia,40.7696272,44.6736646
105,Azerbaijan,40.3936294,47.7872508
73,Bangladesh,24.4769288,90.2934413
57,Belarus,53.4250605,27.6971358
116,Belize,17.1204943,-88.6859028
107,Benin,9.5293472,2.2584408
93,Bhutan,27.549511,90.5119273
45,Bolivia,-17.0568696,-64.9912286
85,Bosnia and Herzegovina,44.3053476,17.5961467
97,Botswana,-23.1681782,24.5928742
61,Brazil,-10.3333333,-53.2
74,Burkina Faso,12.0753083,-1.6880314
92,Burundi,-3.426449,29.9324519
62,Cabo Verde,16.0000552,-24.0083947
76,Cambodia,12.5433216,104.8144914
11,Cameroon,4.6125522,13.1535811
95,Central African Republic,7.0323598,19.9981227
109,Chad,15.6134137,19.0156172
22,Chile,-31.7613365,-71.3187697
14,China (People's Republic of),35.3034847,103.8209532
23,Colombia,4.099917,-72.9088133
108,Comoros,-12.2045176,44.2832964
99,Congo,-2.9814344,23.8222636
24,Costa Rica,10.2735633,-84.0739102
77,Cuba,23.0131338,-80.8328748
56,Côte d'Ivoire,7.9897371,-5.5679458
113,Democratic People's Republic of Korea,40.3736611,127.0870417
21,Democratic Republic of the Congo,-2.9814344,23.8222636
102,Djibouti,11.8145966,42.8453061
127,Dominica,15.4113138,-61.3653618
59,Dominican Republic,19.0974031,-70.3028026
25,Ecuador,-1.3397668,-79.3666965
46,Egypt,26.2540493,29.2675469
40,El Salvador,13.8000382,-88.9140683
81,Equatorial Guinea,1.613172,10.5170357
110,Eritrea,15.9500319,37.9999668
103,Eswatini,-26.5624806,31.3991317
17,Ethiopia,10.2116702,38.6521203
118,Fiji,-18.1239696,179.0122737
111,Gabon,-0.8999695,11.6899699
91,Gambia,13.470062,-15.4900464
12,Georgia,32.3293809,-83.1137366
20,Ghana,8.0300284,-1.0800271
129,Grenada,12.1360374,-61.6904045
27,Guatemala,15.5855545,-90.345759
101,Guinea,10.7226226,-10.7083587
43,Guinea-Bissau,11.815215,-15.2351044
125,Guyana,4.8417097,-58.6416891
58,Haiti,19.1399952,-72.3570972
112,Honduras,15.2572432,-86.0755145
15,India,22.3511148,78.6677428
31,Indonesia,-2.4833826,117.8902853
42,Iran,32.6475314,54.5643516
51,Iraq,33.0955793,44.1749775
104,Jamaica,18.1850507,-77.3947693
75,Jordan,31.1667049,36.941628
63,Kazakhstan,48.1012954,66.7780818
16,Kenya,1.4419683,38.4313975
135,Kiribati,0.3448612,173.6641773
52,Kosovo,42.5869578,20.9021231
69,Kyrgyzstan,41.5089324,74.724091
114,Lao People's Democratic Republic,20.0171109,103.378253
70,Lebanon,33.8750629,35.843409
117,Lesotho,-29.6039267,28.3350193
78,Liberia,5.7499721,-9.3658524
30,Libya,26.8234472,18.1236723
100,Madagascar,-18.9249604,46.4416422
90,Malawi,-13.2687204,33.9301963
32,Malaysia,4.5693754,102.2656823
130,Maldives,3.7203503,73.2244152
19,Mali,16.3700359,-2.2900239
123,Marshall Islands,8.9995549,168.0002575
96,Mauritania,20.2540382,-9.2399263
66,Mauritius,-20.2759451,57.5703566
33,Mexico,23.6585116,-102.0077097
54,Moldova,47.2879608,28.5670941
53,Mongolia,46.8250388,103.8499736
55,Montenegro,42.9868853,19.5180992
28,Morocco,28.3347722,-10.3713379
2,Mozambique,-19.302233,34.9144977
98,Myanmar,17.1750495,95.9999652
34,Namibia,-23.2335499,17.3231107
136,Nauru,-0.5252306,166.9324426
106,Nepal,28.3780464,83.9999901
79,Nicaragua,12.3506436,-85.7841006
18,Niger,17.7356214,9.3238432
35,Nigeria,9.6000359,7.9999721
65,North Macedonia,41.6171214,21.7168387
3,Pakistan,30.3308401,71.247499
131,Palau,5.3783537,132.9102573
72,Panama,8.559559,-81.1308434
124,Papua New Guinea,-5.6816069,144.2489081
71,Paraguay,-23.3165935,-58.1693445
4,Peru,-6.8699697,-75.0458515
5,Philippines,12.7503486,122.7312101
36,Rwanda,-1.9646631,30.0644358
120,Saint Lucia,13.8250489,-60.975036
