,year,cc,ge,pv,rl,rq,va
3,2002,-0.7179090976715088,-1.0443907976150513,-1.2258455753326416,-0.9593043923377991,-1.2327790260314941,-1.2261319160461426
4,2003,-0.7774121761322021,-1.0702273845672607,-1.4096044301986694,-0.8342807292938232,-1.1558289527893066,-1.1147332191467285
5,2004,-0.7574934959411621,-0.878722608089447,-1.3124916553497314,-0.8934459090232849,-0.991614580154419,-1.1809905767440796
6,2005,-0.7725083827972412,-0.9177183508872986,-1.6903833150863647,-0.9388967752456665,-1.1157070398330688,-1.2387572526931763
7,2006,-0.6501047015190125,-0.6905804872512817,-1.740132212638855,-0.667515754699707,-1.0283162593841553,-1.1937174797058105
8,2007,-0.6321858763694763,-0.47174859046936035,-1.8064093589782715,-0.659463107585907,-0.9826846718788147,-1.2037049531936646
9,2008,-0.6663997769355774,-0.4502095580101013,-1.7321206331253052,-0.7067006826400757,-0.8991320133209229,-1.3072127103805542
10,2009,-0.7047223448753357,-0.5624285340309143,-1.6410722732543945,-0.8322818875312805,-0.9319267272949219,-1.2982454299926758
11,2010,-0.6941087245941162,-0.48899462819099426,-1.6351011991500854,-0.8075191378593445,-0.8481064438819885,-1.3448561429977417
12,2011,-0.6678766012191772,-0.5210419297218323,-1.5069637298583984,-0.7418043613433838,-0.9949231147766113,-1.362643837928772
13,2012,-0.608586847782135,-0.45418035984039307,-1.564271330833435,-0.6773178577423096,-1.05003821849823,-1.3089078664779663
14,2013,-0.5017104148864746,-0.6209843158721924,-1.4073073863983154,-0.6496586799621582,-1.1356687545776367,-1.3131312131881714
15,2014,-0.4481658935546875,-0.4432452321052551,-1.3393874168395996,-0.46858373284339905,-1.0784140825271606,-1.2845574617385864
16,2015,-0.4761184751987457,-0.7120376229286194,-1.4969420433044434,-0.5272017121315002,-1.0579651594161987,-1.2983055114746094
17,2016,-0.4420865476131439,-0.7142948508262634,-1.6172451972961426,-0.5078186988830566,-1.1096045970916748,-1.4023810625076294
18,2017,-0.5823220610618591,-0.7592553496360779,-1.6772305965423584,-0.46982043981552124,-1.0297976732254028,-1.4326205253601074
19,2018,-0.5053179264068604,-0.666894257068634,-1.2746092081069946,-0.4447176158428192,-0.9847224354743958,-1.1618921756744385
20,2019,-0.4344988167285919,-0.6614207625389099,-1.3037627935409546,-0.4820231795310974,-0.9106320142745972,-1.062489628791809
21,2020,-0.3896723687648773,-0.5895825624465942,-1.753702998161316,-0.40288859605789185,-0.975501298904419,-1.0363928079605103
22,2021,-0.422021746635437,-0.6503826975822449,-2.183831214904785,-0.6232658624649048,-0.9419659376144409,-1.0710992813110352
23,2022,-0.43325895071029663,-0.7918241620063782,-2.070606231689453,-0.6358940601348877,-0.9484174251556396,-1.048414945602417
24,2023,-0.46506163477897644,-0.7686620950698853,-1.9695677757263184,-0.6702032685279846,-1.021079421043396,-1.0606671571731567
