TIME_PERIOD,"Agriculture, forestry, fishing",Banking and financial services,Business and other services,Communications,Education,Energy,General environment protection,Government and civil society,Health,"Industry, mining, construction",Other multisector,Other social infrastructure and services,Population policies/Programmes & reproductive health,Tourism,Trade policies and regulations,Transport and storage,Water supply & sanitation
2002,69.237193,80.516973,0.853781,1.958432,59.078683,87.929275,3.00471,254.141637,87.555922,124.611238,36.990624,86.765738,41.774807,,,210.591226,23.566318
2003,100.392583,1.086917,4.390854,2.826456,108.420741,55.05669,3.611915,92.606563,155.413299,2.167787,47.543463,56.911219,82.222161,0.078976,0.320634,155.195129,35.934041
2004,96.062097,47.977521,4.43603,4.22773,134.16647,43.8357,6.388255,257.22192,129.613875,58.785188,47.787299,66.961264,109.361531,0.103868,0.193156,159.328821,33.799925
2005,79.872177,8.828509,23.12423,10.338377,95.209174,119.086479,7.373073,119.66448,122.949515,6.553595,33.374198,116.5534,168.645439,0.200281,0.087078,155.130079,31.905736
2006,72.654695,6.348918,50.963466,11.925927,173.927936,141.972747,10.821739,145.848991,219.059051,16.399834,175.691319,76.843643,238.200161,0.115223,0.6064,232.137998,47.97197
2007,93.6022,16.833689,51.2751,6.959681,344.890146,104.325218,11.925854,216.327042,266.979604,20.589476,110.547561,283.22831,344.595167,0.106289,0.376834,234.906972,74.981432
2008,80.196968,11.395121,36.523975,7.655317,258.917,107.922505,17.568716,211.314668,180.461925,18.117806,158.289503,264.759205,413.075447,0.141558,1.131727,319.048751,88.211173
2009,432.68783,144.109039,26.979247,8.374375,749.373892,216.508797,14.812561,144.771775,324.584472,22.100089,110.309899,128.600625,332.745645,0.094177,4.726017,241.524089,123.667469
2010,171.141465,3.025514,14.598487,7.312214,380.257207,127.678356,17.419933,134.349419,243.318732,17.795289,212.472273,284.439856,610.865382,4.603776,3.381352,243.690286,122.306568
2011,157.128415,20.314342,17.888783,4.715755,424.090017,112.968835,27.739517,117.191538,385.997755,17.471468,222.965349,172.357999,538.801445,0.7749,3.387748,325.863384,143.618858
2012,192.807757,4.341717,16.729235,5.157209,435.199643,116.455932,33.103612,121.762399,403.98697,8.745873,274.106043,185.973859,470.322208,3.460211,1.661228,263.03402,190.430149
2013,284.854584,22.656963,21.13525,2.279711,325.167025,186.990649,65.95202,100.853824,685.698382,18.223059,169.073534,240.630719,527.73764,9.934141,33.128508,316.862128,180.963015
2014,339.829644,26.176363,18.475709,2.974333,425.411396,137.040696,53.79774,148.530406,509.577642,17.847256,138.465993,299.69226,439.510816,8.563462,11.941379,275.144455,217.440583
2015,357.756822,23.124175,13.756983,2.541928,208.46397,167.594434,65.497996,173.429,493.341048,11.283538,111.799367,351.508465,414.633661,14.390807,40.484112,251.629899,206.816276
2016,472.191218,24.455332,14.74516,3.321443,364.817276,186.921997,40.334696,183.975119,471.21041,18.727745,248.346452,688.809514,473.441771,1.39861,42.138055,304.373207,193.201264
2017,409.972786,25.238851,15.083032,5.390999,238.594478,235.120486,53.494321,185.746269,524.248289,133.249344,176.402124,626.825381,530.875167,0.104898,28.540107,200.769426,196.939563
2018,406.903836,254.829288,299.612934,102.818811,344.638862,279.95802,56.020758,310.330248,596.212943,163.495686,231.23031,484.159605,478.455114,0.490639,107.391272,219.193413,175.113646
2019,375.046675,150.21047,175.777573,108.046303,296.184416,366.405931,80.735751,309.471243,503.124839,109.758154,278.741901,570.491716,321.799961,1.626607,56.888784,119.50369,261.269063
2020,440.998048,411.092055,195.171201,84.312722,326.105588,288.630626,78.424229,579.407987,506.581083,95.657582,485.362397,379.667481,345.36864,0.466287,102.463027,109.231938,144.310291
2021,306.364702,40.571656,35.262286,13.843035,167.282716,139.340738,43.936581,274.054462,426.156259,68.18214,156.972876,262.911275,329.272576,0.388219,38.142221,131.007935,176.416569
2022,361.985278,110.510341,25.591631,22.324053,282.268907,190.437116,62.18536,212.909654,775.569235,84.228746,150.704348,513.03193,303.889947,0.312258,16.994449,124.267376,244.550293
2023,566.044477,109.860471,31.327946,21.653403,322.431569,119.301554,57.11379,226.586525,659.765016,62.555844,124.211033,654.694694,323.079761,0.274408,9.283836,124.537646,287.008167
2024,0.102464,,,,0.044365,,,0.015561,0.0032,,0.041497,0.013701,,,,,
