,TIME_PERIOD,Sector,OBS_VALUE
0,2002,Action relating to debt,115.285815
1,2002,Administrative costs (non-sector allocable),1.487863
2,2002,Administrative costs of donors,1.487863
3,2002,Advanced technical and managerial training,1.214657
4,2002,Agricultural co-operatives,0.026094
5,2002,Agricultural development,9.248245
6,2002,Agricultural education/training,0.754417
7,2002,Agricultural extension,4.213379
8,2002,Agricultural inputs,21.150662
9,2002,Agricultural land resources,5.990459
10,2002,Agricultural policy and administrative management,6.438585
11,2002,Agricultural research,5.086622
12,2002,Agricultural services,0.523121
13,2002,Agricultural water resources,3.583529
14,2002,Agriculture,63.994853
15,2002,"Agriculture, forestry, fishing",69.237193
16,2002,Air transport,1.452984
17,2002,All sectors,1806.50258
18,2002,Banking and financial services,80.516973
19,2002,Basic drinking water supply and basic sanitation,7.733561
20,2002,Basic education,19.312521
21,2002,Basic health,60.172724
22,2002,Basic health care,25.357582
23,2002,Basic health infrastructure,2.365805
24,2002,Basic life skills for adults,0.160151
25,2002,Basic nutrition,5.128807
26,2002,Biodiversity,0.753546
27,2002,Biofuel-fired power plants,0.543482
28,2002,Business and other services,0.853781
29,2002,Business policy and administration,0.550566
30,2002,Chemicals,22.746931
31,2002,"Civilian peace-building, conflict prevention and resolution",74.527066
32,2002,Commodity aid / General programme assistance,216.196995
33,2002,Communications,1.958432
34,2002,Communications policy and administrative management,0.100914
35,2002,"Conflict, peace and security",85.124626
36,2002,Cottage industries and handicraft,0.129931
37,2002,Culture and recreation,2.748868
38,2002,Debt forgiveness,115.285815
39,2002,Decentralisation and support to subnational government,1.699396
40,2002,Democratic participation and civil society,6.513891
41,2002,Development food assistance,55.329272
42,2002,Economic infrastructure and services,381.849687
43,2002,Education,59.078683
44,2002,Education and training in transport and storage,0.330082
45,2002,Education and training in water supply and sanitation,0.302819
46,2002,Education facilities and training,8.020986
47,2002,Education policy and administrative management,15.90802
48,2002,"Education, level unspecified",25.080539
49,2002,Educational research,0.830651
50,2002,Elections,0.041602
51,2002,Electric power transmission and distribution (centralised grids),42.683451
52,2002,Emergency food assistance,107.437707
53,2002,Emergency response,152.593595
54,2002,Employment creation,0.088614
55,2002,Energy,87.929275
56,2002,Energy distribution,42.683451
57,2002,Energy education/training,0.013612
58,2002,"Energy generation, non-renewable sources",42.575512
59,2002,"Energy generation, non-renewable sources, unspecified",42.575512
60,2002,"Energy generation, renewable sources",2.448364
61,2002,"Energy generation, renewable sources - multiple technologies",1.445473
62,2002,Energy policy,0.221948
63,2002,Energy policy and administrative management,0.208336
64,2002,Environmental policy and administrative management,2.217906
65,2002,Environmental research,0.033258
66,2002,Family planning,0.506156
67,2002,Fertilizer minerals,0.625533
68,2002,Fertilizer plants,22.746931
69,2002,Fishery development,0.009588
70,2002,Fishing,0.009979
71,2002,Fishing policy and administrative management,0.000391
72,2002,Food assistance,55.329272
73,2002,Food crop production,0.28275
74,2002,Forestry,5.232361
75,2002,Forestry development,1.712127
76,2002,Forestry education/training,0.041573
77,2002,Forestry policy and administrative management,3.478661
78,2002,Formal sector financial intermediaries,79.92516
79,2002,General budget support,160.867723
80,2002,General budget support-related aid,160.867723
81,2002,General environment protection,3.00471
82,2002,Government and civil society,254.141637
83,2002,"Government and civil society, general",169.017011
84,2002,Health,87.555922
85,2002,Health education,0.061934
86,2002,Health personnel development,2.389714
87,2002,Health policy and administrative management,23.017634
88,2002,"Health, general",27.383198
89,2002,Higher education,9.53498
90,2002,Housing policy and administrative management,-0.078702
91,2002,Human rights,2.417425
92,2002,Humanitarian aid,156.444022
93,2002,Hydro-electric power plants,0.459409
94,2002,Immediate post-emergency reconstruction and rehabilitation,3.850427
95,2002,Industrial crops/export crops,0.188576
96,2002,Industrial development,78.61181
97,2002,Industrial policy and administrative management,0.020245
98,2002,Industry,124.306108
99,2002,"Industry, mining, construction",124.611238
100,2002,Infectious disease control,16.805071
101,2002,Informal/semi-formal financial intermediaries,0.591813
102,2002,Information and communication technology (ICT),0.242748
103,2002,Legal and judicial development,2.580559
104,2002,Livestock,4.193504
105,2002,Livestock/veterinary services,0.794177
106,2002,Low-cost housing,0.801515
107,2002,Malaria control,8.063811
108,2002,Material relief assistance and services,45.155888
109,2002,Media and free flow of information,1.04608
110,2002,Medical education/training,0.133626
111,2002,Medical research,1.609999
112,2002,Medical services,2.621939
113,2002,Mineral resources and mining,0.30513
114,2002,Mineral/mining policy and administrative management,0.035152
115,2002,Multi-sector / Cross-cutting,39.995334
116,2002,Multisector aid,3.129413
117,2002,Multisector aid for basic social services,4.822245
118,2002,Multisector education/training,6.395207
119,2002,Oil and gas (upstream),-0.355555
120,2002,Other multisector,36.990624
121,2002,Other social infrastructure and services,86.765738
122,2002,Participation in international peacekeeping operations,7.411688
123,2002,Plant and post-harvest protection and pest control,1.520733
124,2002,Population policies/Programmes & reproductive health,41.774807
125,2002,Population policy and administrative management,2.698381
126,2002,Post-secondary education,10.749637
127,2002,Primary education,19.15237
128,2002,Privatisation,0.303215
129,2002,Production sectors,193.848431
130,2002,Promotion of development awareness (non-sector allocable),0.157794
131,2002,Public finance management (PFM),60.987512
132,2002,Public sector policy and administrative management,90.743685
133,2002,Radio/television/print media,0.729406
134,2002,Reconstruction relief and rehabilitation,3.850427
135,2002,Refugees in donor countries,10.302186
136,2002,Refugees/asylum seekers  in donor countries (non-sector allocable),10.302186
137,2002,Removal of land mines and explosive remnants of war,3.185872
138,2002,Reproductive health care,12.342838
139,2002,Research/scientific institutions,5.733534
140,2002,River basins development,0.016261
141,2002,Road transport,206.936863
142,2002,Rural development,21.541968
143,2002,STD control including HIV/AIDS,26.227432
144,2002,Secondary education,3.935986
145,2002,Sector allocable,1168.576557
146,2002,Sectors not specified,138.051348
147,2002,Small and medium-sized enterprises (SME) development,0.029213
148,2002,Social infrastructure and services,552.883105
149,2002,Social protection,77.722178
150,2002,Statistical capacity building,0.66102
151,2002,Teacher training,0.320882
152,2002,Telecommunications,0.885364
153,2002,Transport and storage,210.591226
154,2002,Transport equipment industry,0.021047
155,2002,Transport policy and administrative management,1.871297
156,2002,Unallocated / unspecified,138.209142
157,2002,Upper secondary education,2.468223
158,2002,Urban development and management,0.190502
159,2002,Vocational training,1.467763
160,2002,Waste management/disposal,1.527672
161,2002,Water resources conservation (including data collection),0.631174
162,2002,Water sector policy and administrative management,3.346912
163,2002,Water supply & sanitation,23.566318
164,2002,Water supply and sanitation - large systems,10.007919
165,2002,"Women's rights organisations and movements, and government institutions",2.986861
166,2003,Action relating to debt,135.03224899999998
167,2003,Administrative costs (non-sector allocable),3.305978
168,2003,Administrative costs of donors,3.305978
169,2003,Advanced technical and managerial training,3.231325
170,2003,Agricultural development,42.16164
171,2003,Agricultural education/training,0.541032
172,2003,Agricultural extension,3.170671
173,2003,Agricultural inputs,3.465672
174,2003,Agricultural land resources,6.217192
175,2003,Agricultural policy and administrative management,2.836959
176,2003,Agricultural research,4.251294
177,2003,Agricultural services,12.474711
178,2003,Agricultural water resources,5.129587
179,2003,Agriculture,95.202703
180,2003,"Agriculture, forestry, fishing",100.392583
181,2003,Agro-industries,0.025199
182,2003,Air transport,8.228822
183,2003,All sectors,2142.821638
184,2003,Banking and financial services,1.086917
185,2003,Basic drinking water supply and basic sanitation,13.868845
186,2003,Basic education,48.532039
187,2003,Basic health,126.485704
188,2003,Basic health care,54.512467
189,2003,Basic health infrastructure,1.327508
190,2003,Basic life skills for adults,1.119452
191,2003,Basic nutrition,5.762063
192,2003,Biodiversity,2.0156
193,2003,Biofuel-fired power plants,0.529711
194,2003,Biosphere protection,0.137234
195,2003,Business and other services,4.390854
196,2003,Business policy and administration,3.093465
197,2003,Chemicals,-0.003548
198,2003,"Civilian peace-building, conflict prevention and resolution",29.742131
199,2003,Commodity aid / General programme assistance,155.623495
200,2003,Communications,2.826456
201,2003,Communications policy and administrative management,0.217579
202,2003,"Conflict, peace and security",36.101006
203,2003,Cottage industries and handicraft,0.114351
204,2003,Culture and recreation,3.431127
205,2003,Debt forgiveness,134.470775
206,2003,Decentralisation and support to subnational government,2.269511
207,2003,Democratic participation and civil society,10.169787
208,2003,Development food assistance,78.380537
209,2003,Early childhood education,0.070969
210,2003,Economic infrastructure and services,218.556046
211,2003,Education,108.420741
212,2003,Education and training in transport and storage,0.097345
213,2003,Education and training in water supply and sanitation,0.093463
214,2003,Education facilities and training,11.574704
215,2003,Education policy and administrative management,14.459412
216,2003,"Education, level unspecified",34.025923
217,2003,Educational research,1.31854
218,2003,Electric power transmission and distribution (centralised grids),25.817866
219,2003,Emergency food assistance,793.63191
220,2003,Emergency response,858.732044
221,2003,Employment creation,0.575365
222,2003,Energy,55.05669
223,2003,Energy distribution,25.817866
224,2003,"Energy generation, non-renewable sources",23.782106
225,2003,"Energy generation, non-renewable sources, unspecified",23.782106
226,2003,"Energy generation, renewable sources",4.838399
227,2003,"Energy generation, renewable sources - multiple technologies",2.125349
228,2003,Energy policy,0.618319
229,2003,Energy policy and administrative management,0.618319
230,2003,Engineering,0.30539
231,2003,Environmental policy and administrative management,1.45813
232,2003,Environmental research,0.000951
233,2003,Family planning,1.541941
234,2003,Fertilizer plants,-0.003548
235,2003,Financial policy and administrative management,0.012686
236,2003,Fishery services,0.028491
237,2003,Fishing,0.028491
238,2003,Food assistance,78.380537
239,2003,Food crop production,5.08962
240,2003,Forest industries,0.045288
241,2003,Forestry,5.161389
242,2003,Forestry development,2.166419
243,2003,Forestry policy and administrative management,2.99497
244,2003,Formal sector financial intermediaries,0.327932
245,2003,General budget support,77.242958
246,2003,General budget support-related aid,77.242958
247,2003,General environment protection,3.611915
248,2003,Geothermal energy,0.00661
249,2003,Government and civil society,92.606563
250,2003,"Government and civil society, general",56.505557
251,2003,Health,155.413299
252,2003,Health education,0.855877
253,2003,Health personnel development,3.000362
254,2003,Health policy and administrative management,22.12225
255,2003,"Health, general",28.927595
256,2003,Higher education,17.045566
257,2003,Housing policy and administrative management,0.033027
258,2003,Human rights,2.283511
259,2003,Humanitarian aid,858.732044
260,2003,Hydro-electric power plants,2.176729
261,2003,Industrial crops/export crops,3.38422
262,2003,Industrial development,0.638465
263,2003,Industrial policy and administrative management,0.261707
264,2003,Industry,2.139509
265,2003,"Industry, mining, construction",2.167787
266,2003,Infectious disease control,21.415518
267,2003,Informal/semi-formal financial intermediaries,0.746299
268,2003,Information and communication technology (ICT),0.061007
269,2003,Legal and judicial development,2.775114
270,2003,Livestock,4.528107
271,2003,Livestock/veterinary services,1.683992
272,2003,Low-cost housing,1.231377
273,2003,Malaria control,30.687674
274,2003,Material relief assistance and services,65.100134
275,2003,Media and free flow of information,0.055605
276,2003,Medical education/training,1.824967
277,2003,Medical research,1.359423
278,2003,Medical services,3.620955
279,2003,Mineral prospection and exploration,0.028278
280,2003,Mineral resources and mining,0.028278
281,2003,Multi-sector / Cross-cutting,51.155378
282,2003,Multisector aid,6.646542
283,2003,Multisector aid for basic social services,4.858232
284,2003,Multisector education/training,0.18527
285,2003,Other multisector,47.543463
286,2003,Other social infrastructure and services,56.911219
287,2003,Participation in international peacekeeping operations,2.897528
288,2003,Plant and post-harvest protection and pest control,0.268006
289,2003,Population policies/Programmes & reproductive health,82.222161
290,2003,Population policy and administrative management,2.650937
291,2003,Post-secondary education,20.276891
292,2003,Primary education,47.341618
293,2003,Privatisation,1.297389
294,2003,Production sectors,102.95998
295,2003,Promotion of development awareness (non-sector allocable),0.011636
296,2003,Public finance management (PFM),2.657219
297,2003,Public sector policy and administrative management,32.153311
298,2003,Radio/television/print media,1.714942
299,2003,Refugees in donor countries,2.578422
300,2003,Refugees/asylum seekers  in donor countries (non-sector allocable),2.578422
301,2003,Regional trade agreements (RTAs),0.158784
302,2003,Removal of land mines and explosive remnants of war,3.461347
303,2003,Reproductive health care,14.187257
304,2003,Research/scientific institutions,4.646257
305,2003,River basins development,0.721476
306,2003,Road transport,145.488248
307,2003,Rural development,33.618406
308,2003,STD control including HIV/AIDS,63.842026
309,2003,Secondary education,5.585888
310,2003,Sector allocable,904.179428
311,2003,Sectors not specified,83.639123
312,2003,Small and medium-sized enterprises (SME) development,0.756205
313,2003,Social infrastructure and services,531.508024
314,2003,Social protection,46.531611
315,2003,Statistical capacity building,0.25048
316,2003,Teacher training,6.673267
317,2003,Telecommunications,0.832928
318,2003,Tourism,0.078976
319,2003,Tourism policy and administrative management,0.078976
320,2003,Trade policies and regulations,0.320634
321,2003,Trade policy and administrative management,0.16185
322,2003,Transport and storage,155.195129
323,2003,Transport policy and administrative management,1.380714
324,2003,Tuberculosis control,8.924235
325,2003,Unallocated / unspecified,83.650759
326,2003,Upper secondary education,2.379453
327,2003,Urban development and management,2.446988
328,2003,Vocational training,3.206435
329,2003,Waste management/disposal,3.624764
330,2003,Water resources conservation (including data collection),0.571261
331,2003,Water sector policy and administrative management,4.288104
332,2003,Water supply & sanitation,35.934041
333,2003,Water supply and sanitation - large systems,12.766128
334,2003,"Women's rights organisations and movements, and government institutions",4.141499
335,2004,Action relating to debt,235.450363
336,2004,Administrative costs (non-sector allocable),2.365727
337,2004,Administrative costs of donors,2.365727
338,2004,Advanced technical and managerial training,0.174531
339,2004,Agricultural co-operatives,0.188432
340,2004,Agricultural development,57.409848
341,2004,Agricultural education/training,0.56265
342,2004,Agricultural extension,1.715333
343,2004,Agricultural financial services,0.259981
344,2004,Agricultural inputs,0.023367
345,2004,Agricultural land resources,2.12635
346,2004,Agricultural policy and administrative management,3.26271
347,2004,Agricultural research,3.6812
348,2004,Agricultural services,1.226966
349,2004,Agricultural water resources,3.880119
350,2004,Agriculture,92.238455
351,2004,"Agriculture, forestry, fishing",96.062097
352,2004,Agro-industries,0.00215
353,2004,Air transport,1.516195
354,2004,All sectors,2298.38057
355,2004,Banking and financial services,47.977521
356,2004,Basic drinking water supply and basic sanitation,5.855064
357,2004,Basic education,68.761573
358,2004,Basic health,65.680244
359,2004,Basic health care,39.642347
360,2004,Basic health infrastructure,0.51633
361,2004,Basic life skills for adults,1.716767
362,2004,Basic nutrition,7.132219
363,2004,Biodiversity,1.168544
364,2004,Biofuel-fired power plants,0.321374
365,2004,Biosphere protection,1.735496
366,2004,Business and other services,4.43603
367,2004,Business policy and administration,3.953525
368,2004,"Civilian peace-building, conflict prevention and resolution",17.355828
369,2004,Commodity aid / General programme assistance,305.167161
370,2004,Communications,4.22773
371,2004,Communications policy and administrative management,2.257755
372,2004,"Conflict, peace and security",20.052297
373,2004,Cottage industries and handicraft,0.033326
374,2004,Culture and recreation,2.812845
375,2004,Debt forgiveness,234.820798
376,2004,Decentralisation and support to subnational government,3.829243
377,2004,Democratic participation and civil society,14.563296
378,2004,Development food assistance,82.946466
379,2004,Economic infrastructure and services,259.805802
380,2004,Education,134.16647
381,2004,Education and training in transport and storage,0.074642
382,2004,Education and training in water supply and sanitation,0.868993
383,2004,Education facilities and training,22.753642
384,2004,Education policy and administrative management,11.304127
385,2004,"Education, level unspecified",39.337468
386,2004,Education/training in banking and financial services,0.05402
387,2004,Educational research,1.233854
388,2004,Elections,3.154048
389,2004,Electric power transmission and distribution (centralised grids),20.812001
390,2004,Emergency food assistance,415.419816
391,2004,Emergency response,512.786247
392,2004,Employment creation,1.057262
393,2004,Energy,43.8357
394,2004,Energy distribution,20.812001
395,2004,"Energy generation, non-renewable sources",17.982
396,2004,"Energy generation, non-renewable sources, unspecified",17.982
397,2004,"Energy generation, renewable sources",4.977424
398,2004,"Energy generation, renewable sources - multiple technologies",3.245769
399,2004,Energy policy,0.064275
400,2004,Energy policy and administrative management,0.064275
401,2004,Engineering,0.155543
402,2004,Environmental policy and administrative management,3.379677
403,2004,Environmental research,0.104538
404,2004,Family planning,3.093599
405,2004,Financial policy and administrative management,3.933024
406,2004,Fishing,0.009462
407,2004,Fishing policy and administrative management,0.009462
408,2004,Food assistance,82.946466
409,2004,Food crop production,3.243173
410,2004,Forest industries,0.030822
411,2004,Forestry,3.81418
412,2004,Forestry development,1.279312
413,2004,Forestry policy and administrative management,2.534868
414,2004,Formal sector financial intermediaries,43.768257
415,2004,General budget support,221.004341
416,2004,General budget support-related aid,221.004341
417,2004,General environment protection,6.388255
418,2004,Geothermal energy,0.069581
419,2004,Government and civil society,257.22192
420,2004,"Government and civil society, general",237.169623
421,2004,Health,129.613875
422,2004,Health education,0.057831
423,2004,Health personnel development,0.308031
424,2004,Health policy and administrative management,54.694608
425,2004,"Health, general",63.933631
426,2004,Higher education,18.452335
427,2004,Housing policy and administrative management,0.030822
428,2004,Human rights,2.316901
429,2004,Humanitarian aid,513.027982
430,2004,Hydro-electric power plants,1.190469
431,2004,Immediate post-emergency reconstruction and rehabilitation,0.241735
432,2004,Import support (commodities),1.216354
433,2004,Industrial crops/export crops,0.400452
434,2004,Industrial development,57.740212
435,2004,Industrial policy and administrative management,0.07123
436,2004,Industry,58.765046
437,2004,"Industry, mining, construction",58.785188
438,2004,Infectious disease control,12.240877
439,2004,Informal/semi-formal financial intermediaries,0.22222
440,2004,Information and communication technology (ICT),1.062699
441,2004,Legal and judicial development,4.500092
442,2004,Livestock,13.921511
443,2004,Livestock/veterinary services,0.28785
444,2004,Low-cost housing,0.890126
445,2004,Malaria control,5.782609
446,2004,Material relief assistance and services,97.366431
447,2004,Media and free flow of information,2.818326
448,2004,Medical education/training,2.830527
449,2004,Medical research,2.078922
450,2004,Medical services,4.329574
451,2004,Mineral resources and mining,0.020142
452,2004,Mineral/mining policy and administrative management,0.020142
453,2004,Multi-sector / Cross-cutting,54.175554
454,2004,Multisector aid,5.741769
455,2004,Multisector aid for basic social services,6.071877
456,2004,Multisector education/training,0.207816
457,2004,Other commodity assistance,1.216354
458,2004,Other multisector,47.787299
459,2004,Other social infrastructure and services,66.961264
460,2004,Participation in international peacekeeping operations,0.494474
461,2004,Plant and post-harvest protection and pest control,0.048513
462,2004,Population policies/Programmes & reproductive health,109.361531
463,2004,Population policy and administrative management,10.742562
464,2004,Post-secondary education,18.626866
465,2004,Primary education,67.044806
466,2004,Privatisation,0.482505
467,2004,Production sectors,155.144309
468,2004,Promotion of development awareness (non-sector allocable),0.023556
469,2004,Public finance management (PFM),108.529952
470,2004,Public sector policy and administrative management,93.637601
471,2004,Radio/television/print media,0.567418
472,2004,Reconstruction relief and rehabilitation,0.241735
473,2004,Refugees in donor countries,7.641547
474,2004,Refugees/asylum seekers  in donor countries (non-sector allocable),7.641547
475,2004,Removal of land mines and explosive remnants of war,2.201995
476,2004,Reproductive health care,18.285535
477,2004,Rescheduling and refinancing,0.629565
478,2004,Research/scientific institutions,2.66946
479,2004,River basins development,2.223626
480,2004,Road transport,154.449954
481,2004,Rural development,38.894795
482,2004,STD control including HIV/AIDS,77.239835
483,2004,Secondary education,7.440563
484,2004,Sector allocable,1200.25065
485,2004,Sectors not specified,34.453584
486,2004,Small and medium-sized enterprises (SME) development,0.711947
